站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705145900,3.0,1022.4,55,107,9.1,0.7,10253.1
58102,20240705145900,8.0,1018.3,100,110,13.3,0.7,10048.2
58118,20240705145900,15.3,1022.1,95,207,6.6,0.0,10415.3
58122,20240705145900,17.8,1013.7,21,357,1.8,1.5,10411.8
58203,20240705145900,0.0,1018.4,27,1,3.9,0.7,10209.8
58215,20240705145900,13.2,1017.0,19,294,7.8,0.6,10473.4
58221,20240705145900,1.3,1025.5,96,106,14.6,1.2,10194.4
58225,20240705145900,1.3,1014.2,78,91,4.6,1.5,10011.9
58236,20240705145900,31.4,1003.3,68,326,3.0,1.3,10383.2
58311,20240705145900,22.1,1002.2,49,93,11.9,0.5,10492.4
58314,20240705145900,15.0,1006.7,42,3,11.2,0.8,10307.7
58319,20240705145900,1.1,1018.2,62,216,12.1,0.3,10406.9
58321,20240705145900,11.9,1013.8,65,5,9.8,1.3,10043.1
58326,20240705145900,7.8,1008.0,35,99,7.4,1.5,10257.2
58336,20240705145900,14.3,1003.0,87,173,10.9,0.4,10388.2
58338,20240705145900,32.2,1018.2,35,285,2.7,0.7,10166.8
58414,20240705145900,34.8,1005.9,48,150,5.4,1.1,10450.5
58419,20240705145900,20.2,1020.5,61,153,8.0,0.3,10194.8
58424,20240705145900,25.6,1003.0,25,279,14.3,0.1,10061.9
58429,20240705145900,10.2,1012.2,56,46,11.0,0.5,10351.4
58436,20240705145900,13.7,1022.9,33,157,14.0,0.0,10339.4
58437,20240705145900,19.4,1020.1,86,38,1.3,1.4,10340.8
58520,20240705145900,4.3,1009.7,96,21,11.0,0.9,10042.6
58531,20240705145900,5.3,1009.6,12,25,3.3,1.5,10380.4
54406,20240705145900,19.5,1021.1,8,84,7.2,0.4,10296.9
54416,20240705145900,26.2,1020.1,48,136,14.2,0.4,10152.9
54511,20240705145900,25.5,1018.1,20,30,5.8,1.0,10360.3
58725,20240705145900,6.8,1024.4,54,331,14.5,0.1,10246.4
58730,20240705145900,33.1,1014.5,89,246,0.3,0.0,10123.1
58731,20240705145900,17.6,1010.8,38,348,0.5,1.0,10335.7
58734,20240705145900,29.9,1022.5,18,287,3.6,0.2,10304.1
58737,20240705145900,34.6,1021.7,90,127,12.8,0.9,10092.0
58744,20240705145900,32.6,1005.5,89,107,2.5,1.2,10397.5
58754,20240705145900,3.1,1004.1,92,247,11.9,0.9,10378.8
58818,20240705145900,22.6,1020.7,40,316,1.7,0.4,10079.8
58820,20240705145900,25.3,1003.6,86,131,1.0,0.9,10155.4
58834,20240705145900,28.8,1001.5,52,66,4.3,0.4,10090.5
58837,20240705145900,16.8,1006.6,57,321,0.2,0.3,10025.6
58843,20240705145900,27.1,1002.1,21,170,4.3,1.2,10013.2
58846,20240705145900,11.0,1024.9,49,105,11.0,0.1,10167.3
58847,20240705145900,2.2,1008.7,67,32,12.9,1.2,10006.3
58911,20240705145900,32.2,1011.4,88,203,8.5,0.7,10478.4
58918,20240705145900,28.7,1013.8,73,351,6.4,0.1,10262.1
58921,20240705145900,0.9,1006.9,11,181,3.0,0.8,10076.1
58926,20240705145900,14.2,1022.3,29,34,1.2,0.9,10174.4
58927,20240705145900,19.2,1008.9,98,156,6.4,0.6,10212.6
58931,20240705145900,9.9,1023.1,69,199,4.9,0.9,10078.8
58933,20240705145900,16.5,1012.1,70,114,14.7,0.6,10204.5
58936,20240705145900,17.8,1013.1,24,340,6.1,0.7,10073.5
58944,20240705145900,22.4,1010.0,72,238,7.6,0.8,10231.1
59113,20240705145900,34.0,1023.0,25,252,0.8,0.6,10209.6
59126,20240705145900,10.7,1014.5,25,94,4.3,0.0,10127.6
59133,20240705145900,19.0,1009.8,53,158,6.6,0.4,10015.4
59134,20240705145900,7.7,1015.6,14,351,1.1,0.4,10071.6
59321,20240705145900,3.7,1016.0,70,40,4.2,1.0,10372.1
52323,20240705145900,25.3,1020.3,37,340,2.5,0.0,10476.4
52418,20240705145900,6.8,1000.6,62,160,0.6,1.1,10040.0
52424,20240705145900,32.2,1012.2,5,349,14.3,0.4,10123.0
52436,20240705145900,20.6,1008.8,28,196,0.0,0.2,10413.9
52446,20240705145900,14.4,1003.8,26,317,9.8,1.5,10440.2
52447,20240705145900,22.3,1000.1,61,243,4.9,0.8,10476.3
52533,20240705145900,15.5,1011.2,3,119,13.5,1.3,10395.5
52546,20240705145900,13.0,1019.0,56,327,9.3,0.4,10196.7
52652,20240705145900,24.5,1024.4,26,299,13.5,1.5,10452.6
52661,20240705145900,13.3,1021.7,50,259,2.3,0.8,10378.5
52674,20240705145900,22.4,1023.3,79,89,9.6,0.5,10275.9
52679,20240705145900,8.3,1004.2,62,125,0.7,0.6,10380.7
52681,20240705145900,0.2,1007.8,72,57,13.4,1.4,10138.0
52787,20240705145900,21.9,1020.5,30,203,3.7,0.9,10206.5
52797,20240705145900,26.2,1023.9,37,116,9.7,0.7,10102.5
52884,20240705145900,24.3,1010.4,98,228,7.9,1.0,10349.8
52895,20240705145900,8.6,1015.8,13,111,13.6,1.4,10354.1
52983,20240705145900,27.2,1007.5,80,22,5.8,0.3,10275.5
52984,20240705145900,24.5,1020.0,27,110,4.9,1.1,10126.7
52986,20240705145900,14.7,1000.5,67,92,13.7,1.3,10365.7
52996,20240705145900,11.8,1019.0,91,264,1.5,0.1,10426.7
53821,20240705145900,30.3,1003.8,79,316,4.6,0.5,10042.0
53915,20240705145900,20.4,1019.0,66,11,5.5,1.0,10152.2
53923,20240705145900,25.7,1012.8,50,274,7.6,0.4,10468.0
56074,20240705145900,11.5,1013.3,77,53,4.1,1.0,10275.4
56080,20240705145900,15.6,1025.5,72,50,0.5,1.3,10004.3
56093,20240705145900,5.1,1020.6,31,237,7.3,0.3,10057.4
56096,20240705145900,33.1,1020.9,1,68,7.4,1.4,10052.9
57014,20240705145900,20.2,1025.9,100,137,4.0,0.4,10199.1
57996,20240705145900,8.1,1005.6,94,69,14.6,0.1,10452.0
59072,20240705145900,5.4,1018.0,36,37,0.8,0.5,10063.2
59082,20240705145900,3.4,1026.1,79,285,3.5,0.6,10013.5
59087,20240705145900,16.2,1001.4,4,274,10.3,0.3,10323.9
59088,20240705145900,4.3,1013.8,21,336,10.0,0.6,10201.1
59096,20240705145900,14.8,1010.8,22,262,12.5,0.3,10160.6
59097,20240705145900,13.4,1012.6,56,290,13.3,0.3,10290.6
59107,20240705145900,21.8,1022.2,10,142,9.6,0.7,10298.5
59116,20240705145900,15.2,1013.7,32,185,3.6,1.5,10340.0
59117,20240705145900,23.8,1012.7,33,96,6.5,0.5,10462.3
59271,20240705145900,14.1,1000.1,13,17,2.3,0.2,10173.5
59278,20240705145900,10.6,1021.9,80,16,9.6,1.0,10315.0
59280,20240705145900,29.5,1012.7,100,339,0.1,1.3,10430.7
59287,20240705145900,28.9,1020.7,40,149,6.6,1.4,10465.3
59289,20240705145900,28.2,1003.5,26,315,3.6,0.0,10237.0
59293,20240705145900,31.1,1020.6,29,87,13.5,0.1,10171.3
59294,20240705145900,33.3,1008.0,28,258,13.4,0.7,10361.2
59298,20240705145900,3.7,1021.8,79,37,12.2,0.8,10231.7
59303,20240705145900,13.9,1001.2,70,163,2.7,0.5,10223.6
59304,20240705145900,26.5,1024.9,24,317,9.5,0.9,10335.7
59306,20240705145900,3.2,1024.1,5,236,11.3,1.1,10195.3
59310,20240705145900,14.7,1020.6,82,96,12.6,0.6,10453.2
59316,20240705145900,9.9,1015.3,27,18,0.5,0.0,10379.9
59317,20240705145900,3.4,1006.1,78,72,13.7,0.5,10300.3
59324,20240705145900,3.5,1019.4,52,177,2.2,1.4,10447.0
59456,20240705145900,33.7,1014.0,89,246,4.4,0.8,10461.7
59462,20240705145900,32.0,1012.7,28,209,11.2,1.2,10134.7
59478,20240705145900,22.0,1001.7,33,186,0.0,0.3,10057.6
59485,20240705145900,33.8,1017.5,47,33,7.6,0.9,10331.5
59488,20240705145900,10.0,1009.0,86,67,2.0,0.4,10467.2
59493,20240705145900,26.6,1012.7,62,167,8.6,0.4,10332.9
59501,20240705145900,4.8,1012.3,57,0,11.0,1.2,10487.3
59658,20240705145900,6.3,1024.3,38,61,7.8,1.3,10391.1
59663,20240705145900,20.5,1011.0,73,237,4.7,0.8,10002.0
59664,20240705145900,26.9,1002.3,30,26,8.0,0.2,10110.6
59673,20240705145900,16.8,1006.7,34,297,10.0,1.3,10412.3
59754,20240705145900,6.3,1006.8,100,306,2.6,0.2,10272.5
57947,20240705145900,15.4,1019.8,19,41,3.5,1.3,10429.6
57957,20240705145900,18.4,1018.5,78,223,2.8,1.0,10382.5
57958,20240705145900,30.9,1006.3,31,117,0.5,0.4,10263.5
59021,20240705145900,15.6,1024.0,38,309,0.3,0.4,10069.1
59023,20240705145900,2.9,1006.5,24,336,14.5,1.1,10056.9
59027,20240705145900,18.0,1020.7,17,164,2.4,0.0,10309.5
59037,20240705145900,20.3,1007.1,67,244,12.4,0.8,10257.3
59046,20240705145900,13.1,1022.3,14,317,8.3,0.8,10463.8
59058,20240705145900,13.9,1023.9,1,78,14.5,1.5,10488.1
59065,20240705145900,9.0,1005.2,75,163,1.7,0.8,10460.9
59209,20240705145900,34.1,1021.6,96,154,13.2,0.1,10453.2
59211,20240705145900,25.8,1004.6,94,279,12.9,0.8,10468.7
59218,20240705145900,6.4,1023.9,42,35,11.0,0.1,10392.4
59228,20240705145900,0.7,1006.6,99,80,14.1,0.0,10265.2
59242,20240705145900,5.8,1000.1,42,311,2.2,0.6,10325.7
59254,20240705145900,15.6,1022.9,49,274,0.0,0.8,10171.2
59265,20240705145900,28.1,1014.1,65,287,3.2,0.6,10136.7
59417,20240705145900,4.5,1023.2,74,292,4.5,1.3,10336.0
59431,20240705145900,3.6,1002.8,90,344,0.9,1.0,10165.9
59446,20240705145900,13.1,1021.0,70,327,6.9,0.2,10221.0
59453,20240705145900,22.1,1015.2,2,332,12.5,0.1,10332.5
59626,20240705145900,16.0,1022.2,42,105,13.4,0.3,10392.3
59631,20240705145900,27.9,1006.5,17,328,4.3,0.9,10251.1
59632,20240705145900,25.4,1020.3,61,247,5.5,1.0,10003.2
59644,20240705145900,17.4,1000.8,2,65,8.2,0.9,10404.0
59647,20240705145900,25.7,1014.7,71,199,10.1,0.7,10023.8
56691,20240705145900,13.7,1011.6,18,69,3.8,0.8,10315.7
56693,20240705145900,8.3,1017.9,26,177,7.5,1.4,10018.5
56792,20240705145900,33.0,1023.2,30,67,3.7,1.3,10319.3
56793,20240705145900,21.9,1024.5,0,49,10.5,0.3,10170.0
57606,20240705145900,10.8,1025.7,47,66,0.5,0.7,10053.1
57614,20240705145900,29.5,1008.4,5,348,5.0,0.9,10315.7
57625,20240705145900,2.7,1019.9,25,150,14.2,1.1,10485.9
57647,20240705145900,13.1,1014.8,15,171,10.1,0.7,10286.0
57707,20240705145900,15.8,1006.6,16,306,5.1,1.3,10030.4
57710,20240705145900,0.6,1007.3,65,92,12.9,1.5,10397.2
57712,20240705145900,33.0,1001.9,49,289,11.0,0.3,10256.6
57718,20240705145900,5.4,1001.8,69,326,2.3,1.4,10164.0
57722,20240705145900,12.6,1009.3,25,6,8.0,0.1,10469.0
57729,20240705145900,18.1,1018.9,77,359,12.7,0.9,10311.3
57731,20240705145900,10.7,1005.6,93,99,12.7,1.0,10012.4
57741,20240705145900,23.8,1000.5,41,2,2.0,0.4,10078.1
57803,20240705145900,34.4,1010.2,96,2,1.8,1.4,10457.5
57805,20240705145900,34.8,1004.0,98,101,9.9,0.7,10003.8
57806,20240705145900,17.6,1008.9,12,265,2.3,1.2,10049.6
57816,20240705145900,5.0,1006.7,95,148,14.9,0.5,10079.1
57825,20240705145900,32.0,1021.5,80,116,3.0,0.9,10208.9
57827,20240705145900,29.8,1003.9,30,348,10.9,0.9,10236.3
57832,20240705145900,1.0,1025.7,49,209,13.3,1.3,10128.7
57839,20240705145900,25.6,1017.8,26,277,13.7,0.0,10497.1
57840,20240705145900,18.7,1015.6,51,67,12.8,0.8,10391.2
57902,20240705145900,20.8,1012.0,25,206,14.6,0.5,10477.5
57906,20240705145900,25.6,1020.4,29,238,2.1,0.9,10162.3
57907,20240705145900,15.5,1005.8,15,123,12.2,0.9,10351.7
57910,20240705145900,25.9,1011.1,54,306,3.4,0.2,10203.0
57912,20240705145900,1.2,1007.9,19,231,7.1,0.2,10169.2
57916,20240705145900,26.8,1008.0,76,196,12.9,0.3,10363.2
57922,20240705145900,15.3,1026.0,90,230,6.9,1.2,10110.3
57926,20240705145900,29.1,1023.3,47,322,13.4,0.4,10004.2
57932,20240705145900,27.0,1012.1,12,232,6.3,0.7,10400.4
59758,20240705145900,23.6,1002.6,52,344,3.8,0.5,10086.2
59838,20240705145900,6.7,1023.4,46,2,0.5,0.9,10073.9
59845,20240705145900,32.6,1008.6,81,339,4.4,0.4,10114.7
59849,20240705145900,13.0,1020.2,32,300,3.8,1.3,10315.8
59855,20240705145900,20.3,1004.8,9,220,5.1,0.1,10319.0
59948,20240705145900,13.9,1003.2,38,338,4.8,0.0,10098.7
59954,20240705145900,0.3,1009.3,49,171,1.6,1.5,10114.6
59981,20240705145900,31.2,1001.6,80,192,10.3,0.6,10038.2
53399,20240705145900,19.4,1008.9,26,17,4.9,1.2,10240.0
53593,20240705145900,0.2,1001.6,51,121,10.5,0.3,10477.8
53698,20240705145900,10.4,1001.5,93,229,7.0,1.4,10429.5
53798,20240705145900,28.6,1021.0,52,10,6.1,1.1,10231.8
54308,20240705145900,26.7,1023.1,97,231,4.7,0.6,10029.9
54311,20240705145900,29.7,1004.6,20,9,14.4,0.8,10146.1
54401,20240705145900,10.0,1014.4,42,254,2.6,0.8,10166.5
54405,20240705145900,4.6,1004.9,61,324,6.4,0.4,10337.4
54423,20240705145900,2.8,1010.7,42,275,13.3,1.4,10252.9
54429,20240705145900,13.1,1013.3,24,180,12.9,0.0,10452.8
54436,20240705145900,32.4,1013.5,3,36,0.1,1.5,10494.0
54449,20240705145900,27.7,1002.8,66,355,8.8,1.0,10035.3
54518,20240705145900,30.4,1015.2,79,224,6.9,1.3,10282.8
54534,20240705145900,30.5,1017.7,70,158,8.6,0.0,10063.5
54535,20240705145900,16.7,1020.4,11,143,7.7,0.8,10341.9
54539,20240705145900,17.8,1019.2,35,278,10.1,1.1,10143.8
54602,20240705145900,19.1,1023.9,78,287,10.3,1.4,10388.4
54606,20240705145900,32.4,1001.1,94,359,7.5,0.9,10242.8
54618,20240705145900,16.3,1010.3,92,31,8.7,1.5,10154.3
54624,20240705145900,6.6,1003.5,83,167,11.2,0.7,10097.3
54705,20240705145900,26.5,1000.1,29,26,14.7,1.5,10355.2
53898,20240705145900,5.0,1024.3,40,115,11.6,0.5,10484.0
53986,20240705145900,9.1,1017.1,10,217,1.9,1.5,10423.5
57051,20240705145900,30.9,1000.4,48,187,6.9,0.0,10464.7
57067,20240705145900,33.4,1010.2,56,161,0.8,0.6,10205.2
57071,20240705145900,0.6,1022.3,68,308,5.3,0.8,10225.1
57077,20240705145900,11.9,1006.7,27,143,1.6,0.2,10439.8
57083,20240705145900,28.5,1005.7,77,36,14.2,0.6,10272.6
57084,20240705145900,31.3,1006.9,96,9,0.3,1.0,10367.5
57089,20240705145900,11.1,1011.4,82,99,1.9,1.3,10125.2
57091,20240705145900,7.5,1019.8,82,166,9.0,0.1,10126.3
57156,20240705145900,5.6,1000.1,34,314,1.9,1.3,10145.7
57178,20240705145900,11.3,1013.8,20,258,5.9,0.9,10042.4
57181,20240705145900,16.2,1014.4,79,275,10.5,0.6,10083.4
57193,20240705145900,7.4,1008.6,65,1,5.4,0.6,10162.3
57285,20240705145900,9.6,1007.4,66,265,3.7,1.1,10089.2
57290,20240705145900,0.8,1025.5,96,21,10.0,0.0,10179.8
57297,20240705145900,20.9,1016.2,65,41,7.6,0.3,10034.2
58005,20240705145900,3.1,1015.0,10,87,2.6,1.1,10411.5
58111,20240705145900,13.2,1002.0,79,350,7.1,1.4,10402.0
58208,20240705145900,5.9,1006.2,22,277,14.0,0.4,10357.3
50136,20240705145900,14.0,1024.7,11,62,6.9,1.5,10419.6
50246,20240705145900,29.7,1021.9,61,48,9.1,0.0,10432.0
50247,20240705145900,6.7,1022.3,95,211,11.1,0.9,10285.3
50349,20240705145900,8.2,1001.1,44,43,3.3,0.3,10478.2
50353,20240705145900,17.5,1010.4,88,338,3.1,0.7,10226.9
50442,20240705145900,25.2,1007.8,87,169,5.4,1.2,10304.9
50468,20240705145900,24.5,1012.7,59,74,13.8,0.1,10280.8
50557,20240705145900,4.9,1012.1,97,3,14.7,1.5,10463.7
50564,20240705145900,13.2,1013.4,76,248,1.8,0.4,10185.0
50656,20240705145900,5.2,1006.4,91,134,5.9,0.1,10430.4
50658,20240705145900,6.3,1013.2,55,220,6.2,0.2,10129.6
50674,20240705145900,15.0,1007.1,69,231,8.9,0.9,10430.5
50739,20240705145900,28.6,1005.1,76,310,9.0,0.1,10048.0
50742,20240705145900,31.0,1006.7,31,172,3.8,1.0,10235.4
50745,20240705145900,19.7,1020.6,1,322,12.3,0.4,10136.5
50756,20240705145900,18.7,1013.0,55,77,3.1,0.7,10002.3
50758,20240705145900,27.0,1019.5,64,348,9.6,0.8,10070.9
50774,20240705145900,23.8,1019.9,66,68,14.3,0.9,10100.7
50778,20240705145900,18.2,1020.8,77,1,3.4,1.5,10462.1
50788,20240705145900,25.9,1007.1,94,237,3.6,1.5,10309.9
50844,20240705145900,6.9,1016.9,99,111,4.9,1.4,10147.3
50853,20240705145900,29.7,1008.7,37,135,13.6,1.5,10061.0
50854,20240705145900,13.2,1019.8,78,64,13.6,0.1,10273.6
50862,20240705145900,27.2,1021.2,84,342,1.5,0.0,10082.2
50873,20240705145900,5.2,1025.4,32,291,10.5,0.4,10080.2
50877,20240705145900,25.5,1000.3,40,254,9.1,1.2,10071.8
50888,20240705145900,12.9,1003.0,71,161,9.6,0.7,10069.1
50950,20240705145900,23.2,1021.5,19,125,0.4,0.8,10441.6
50953,20240705145900,21.9,1003.6,22,161,2.5,1.1,10250.0
50955,20240705145900,18.3,1013.7,12,218,13.0,1.4,10015.8
50963,20240705145900,7.3,1023.8,49,133,5.8,0.8,10020.5
50968,20240705145900,30.4,1016.8,27,259,0.3,0.3,10021.4
50973,20240705145900,30.9,1013.6,19,259,8.0,0.1,10367.0
50978,20240705145900,0.7,1016.4,100,160,7.6,0.1,10094.6
50983,20240705145900,0.9,1023.1,45,314,5.9,0.9,10208.3
54094,20240705145900,1.9,1003.3,88,76,12.1,0.6,10411.9
54096,20240705145900,17.7,1024.8,50,176,6.6,1.0,10419.5
57251,20240705145900,24.6,1006.5,45,244,10.1,0.9,10113.9
57256,20240705145900,8.0,1018.4,77,219,11.7,1.0,10227.1
57259,20240705145900,17.6,1001.0,54,247,4.3,1.1,10076.4
57265,20240705145900,16.7,1020.7,3,304,0.0,0.9,10279.1
57278,20240705145900,11.8,1016.0,26,55,11.2,0.4,10180.0
57279,20240705145900,16.4,1013.6,69,354,7.2,0.6,10498.4
57355,20240705145900,33.9,1010.1,32,297,6.2,0.7,10217.7
57358,20240705145900,5.7,1003.2,14,344,7.9,1.5,10312.4
57359,20240705145900,3.1,1020.8,54,340,14.4,0.5,10150.3
57363,20240705145900,10.8,1002.9,69,312,12.2,0.5,10466.9
57378,20240705145900,14.5,1000.2,41,346,4.8,0.2,10335.6
57381,20240705145900,1.2,1025.0,75,170,14.8,0.1,10103.1
57395,20240705145900,12.7,1021.4,33,149,3.3,0.4,10148.5
57399,20240705145900,22.9,1002.1,52,87,1.2,1.0,10445.4
57439,20240705145900,23.6,1005.3,99,103,12.7,0.2,10405.9
57445,20240705145900,17.6,1025.4,36,0,14.9,0.3,10142.2
57447,20240705145900,19.7,1009.0,45,97,0.7,0.8,10344.1
57458,20240705145900,34.2,1011.4,95,43,8.7,1.1,10308.2
57461,20240705145900,30.1,1003.8,1,247,6.6,1.3,10139.9
57476,20240705145900,14.4,1008.3,88,152,4.7,0.7,10148.5
57482,20240705145900,34.8,1018.7,23,178,8.2,0.0,10096.5
57483,20240705145900,19.1,1004.8,21,233,2.4,0.8,10128.2
