2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 09:28:01 recv /myproject/myserver/surfdata/SURF_ZH_20240705092800_3774.xml(125591) ...ok.
2024-07-05 09:29:01 recv /myproject/myserver/surfdata/SURF_ZH_20240705092900_5613.xml(125575) ...ok.
2024-07-05 09:30:01 recv /myproject/myserver/surfdata/SURF_ZH_20240705093000_5750.xml(125588) ...ok.
2024-07-05 09:31:01 recv /myproject/myserver/surfdata/SURF_ZH_20240705093100_5816.xml(125557) ...ok.
2024-07-05 09:32:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093200_5878.xml(125614) ...ok.
2024-07-05 09:33:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093300_5942.xml(125587) ...ok.
2024-07-05 09:34:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093400_6003.xml(125577) ...ok.
2024-07-05 09:35:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093500_6065.xml(125587) ...ok.
2024-07-05 09:36:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093600_6126.xml(125570) ...ok.
2024-07-05 09:37:02 recv /myproject/myserver/surfdata/SURF_ZH_20240705093700_6188.xml(125545) ...ok.
2024-07-05 09:38:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705093800_6253.xml(125552) ...ok.
2024-07-05 09:39:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705093900_6315.xml(125589) ...ok.
2024-07-05 09:40:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094000_6381.xml(125620) ...ok.
2024-07-05 09:41:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094100_6443.xml(125602) ...ok.
2024-07-05 09:42:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094200_6505.xml(125559) ...ok.
2024-07-05 09:43:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094300_6590.xml(125556) ...ok.
2024-07-05 09:44:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094400_6652.xml(125554) ...ok.
2024-07-05 09:45:03 recv /myproject/myserver/surfdata/SURF_ZH_20240705094500_6713.xml(125597) ...ok.
2024-07-05 09:46:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705094600_6777.xml(125521) ...ok.
2024-07-05 09:47:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705094700_6839.xml(125553) ...ok.
2024-07-05 09:48:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705094800_6903.xml(125633) ...ok.
2024-07-05 09:49:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705094900_6964.xml(125562) ...ok.
2024-07-05 09:50:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705095000_7031.xml(125634) ...ok.
2024-07-05 09:51:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705095100_7092.xml(125576) ...ok.
2024-07-05 09:52:04 recv /myproject/myserver/surfdata/SURF_ZH_20240705095200_7153.xml(125577) ...ok.
2024-07-05 09:53:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095300_7218.xml(125614) ...ok.
2024-07-05 09:54:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095400_7279.xml(125573) ...ok.
2024-07-05 09:55:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095500_7341.xml(125583) ...ok.
2024-07-05 09:56:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095600_7403.xml(125587) ...ok.
2024-07-05 09:57:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095700_7485.xml(125598) ...ok.
2024-07-05 09:58:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095800_7550.xml(125561) ...ok.
2024-07-05 09:59:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705095900_7612.xml(125578) ...ok.
2024-07-05 10:00:05 recv /myproject/myserver/surfdata/SURF_ZH_20240705100000_7678.xml(125581) ...ok.
2024-07-05 10:01:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100100_7752.xml(125603) ...ok.
2024-07-05 10:02:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100200_7814.xml(125587) ...ok.
2024-07-05 10:03:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100300_7879.xml(125598) ...ok.
2024-07-05 10:04:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100400_7940.xml(125601) ...ok.
2024-07-05 10:05:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100500_8002.xml(125536) ...ok.
2024-07-05 10:06:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100600_8064.xml(125608) ...ok.
2024-07-05 10:07:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100700_8125.xml(125565) ...ok.
2024-07-05 10:08:06 recv /myproject/myserver/surfdata/SURF_ZH_20240705100800_8190.xml(125581) ...ok.
2024-07-05 10:09:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705100900_8271.xml(125588) ...ok.
2024-07-05 10:10:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101000_8337.xml(125566) ...ok.
2024-07-05 10:11:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101100_8400.xml(125538) ...ok.
2024-07-05 10:12:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101200_8461.xml(125538) ...ok.
2024-07-05 10:13:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101300_8525.xml(125590) ...ok.
2024-07-05 10:14:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101400_8588.xml(125601) ...ok.
2024-07-05 10:15:07 recv /myproject/myserver/surfdata/SURF_ZH_20240705101500_8649.xml(125541) ...ok.
2024-07-05 10:16:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705101600_8710.xml(125539) ...ok.
2024-07-05 10:17:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705101700_8772.xml(125608) ...ok.
2024-07-05 10:18:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705101800_8836.xml(125569) ...ok.
2024-07-05 10:19:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705101900_8898.xml(125564) ...ok.
2024-07-05 10:20:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102000_8986.xml(125588) ...ok.
2024-07-05 10:21:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102100_9081.xml(125580) ...ok.
2024-07-05 10:22:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102200_9142.xml(125564) ...ok.
2024-07-05 10:23:08 recv /myproject/myserver/surfdata/SURF_ZH_20240705102300_9208.xml(125605) ...ok.
2024-07-05 10:24:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102400_9324.xml(125537) ...ok.
2024-07-05 10:25:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102500_9447.xml(125539) ...ok.
2024-07-05 10:26:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102600_9509.xml(125602) ...ok.
2024-07-05 10:27:09 recv /myproject/myserver/surfdata/SURF_ZH_20240705102700_9570.xml(125576) ...ok.
